date,keyword,score,source,related_to
2026-04-15,新作ゲーム 攻略,72,sample,
2026-04-15,春メイク リップ,61,sample,
2026-04-15,京都 ホテル,58,sample,
2026-04-15,推し ライブ 当落,83,sample,
2026-04-15,NISA 始め方,54,sample,
2026-04-15,転職 面接 質問,45,sample,
2026-04-15,表参道 カフェ,49,sample,
2026-04-15,恋愛 相談,42,sample,
2026-04-16,人気アニメ 最新話,77,sample,
2026-04-16,ゲーム セール steam,69,sample,
2026-04-16,韓国アイドル ライブ,88,sample,
2026-04-16,節約 レシピ,57,sample,
2026-04-16,沖縄 旅行 予算,52,sample,
2026-04-16,スニーカー 新作,48,sample,
2026-04-16,マッチングアプリ メッセージ,44,sample,
2026-04-16,天気 週末,39,sample,
2026-04-17,推しの子 映画,91,sample,
2026-04-17,モンハン 攻略 装備,86,sample,
2026-04-17,新作コスメ 口コミ,74,sample,
2026-04-17,東京 ラーメン 人気,66,sample,
2026-04-17,副業 確定申告,59,sample,
2026-04-17,温泉 旅行 日帰り,55,sample,
2026-04-17,復縁 占い,47,sample,
2026-04-17,株価 ニュース,46,sample,
